timestamp_ms, ax_mps2, ay_mps2, az_mps2, gx_rads, gy_rads, gz_rads, temp_c
2891,0.067,-0.488,10.079,-0.012,0.005,-0.027,26.246
2901,0.062,-0.493,10.102,-0.012,0.006,-0.027,26.277
2921,0.024,-0.488,10.093,-0.012,0.006,-0.026,26.246
2931,0.053,-0.502,10.083,-0.012,0.006,-0.027,26.258
2941,0.072,-0.498,10.074,-0.012,0.005,-0.026,26.258
2951,0.029,-0.498,10.079,-0.011,0.006,-0.027,26.254
2961,0.048,-0.498,10.102,-0.012,0.005,-0.027,26.254
2971,0.038,-0.493,10.102,-0.012,0.006,-0.027,26.238
2981,0.048,-0.493,10.083,-0.013,0.006,-0.027,26.238
2991,0.077,-0.493,10.098,-0.013,0.006,-0.027,26.246
3001,0.100,-0.517,10.088,-0.013,0.006,-0.029,26.246
3011,0.177,-0.569,10.079,-0.018,0.001,-0.038,26.230
3021,0.014,-0.469,10.107,-0.020,-0.001,-0.049,26.230
3031,0.057,-0.517,10.136,-0.018,0.002,-0.048,26.246
3041,0.072,-0.507,10.102,-0.020,0.002,-0.051,26.246
3051,0.000,-0.498,10.093,-0.020,0.005,-0.054,26.227
3061,-0.038,-0.464,10.098,-0.020,0.004,-0.053,26.227
3071,-0.062,-0.426,10.035,-0.015,0.010,-0.042,26.270
3081,0.033,-0.483,10.083,-0.012,0.015,-0.033,26.270
3091,0.043,-0.469,10.055,-0.015,-0.002,-0.033,26.289
3101,0.081,-0.483,10.069,-0.009,0.017,-0.027,26.289
3111,-0.115,-0.373,10.117,-0.006,0.013,-0.020,26.262
3121,0.335,-0.660,10.059,-0.005,0.011,-0.001,26.262
3131,0.057,-0.469,10.064,-0.013,0.009,-0.024,26.227
3141,0.067,-0.479,10.088,-0.012,0.007,-0.027,26.227
3151,0.067,-0.531,10.088,-0.012,0.004,-0.026,26.285
3161,0.038,-0.498,10.098,-0.012,0.009,-0.026,26.285
3171,0.033,-0.498,10.083,-0.012,0.004,-0.026,26.242
3181,0.029,-0.502,10.098,-0.012,0.009,-0.024,26.242
3191,0.033,-0.493,10.093,-0.012,0.005,-0.026,26.238
3201,0.062,-0.502,10.069,-0.012,0.005,-0.026,26.238
3211,0.062,-0.502,10.079,-0.012,0.005,-0.026,26.199
3221,0.057,-0.507,10.088,-0.011,0.007,-0.027,26.199
3231,0.053,-0.493,10.102,-0.012,0.005,-0.027,26.234
3241,0.067,-0.488,10.083,-0.012,0.005,-0.027,26.234
3251,0.053,-0.493,10.083,-0.012,0.005,-0.027,26.238
3261,0.067,-0.493,10.093,-0.012,0.006,-0.027,26.238
3271,0.077,-0.479,10.102,-0.012,0.006,-0.027,26.234
3281,0.067,-0.488,10.102,-0.012,0.006,-0.027,26.234
3291,0.072,-0.479,10.055,-0.012,0.007,-0.026,26.223
3301,0.048,-0.474,10.069,-0.011,0.005,-0.027,26.223
3311,0.062,-0.483,10.079,-0.013,0.005,-0.026,26.258
3321,0.072,-0.483,10.088,-0.012,0.006,-0.027,26.258
3331,0.057,-0.493,10.098,-0.012,0.006,-0.027,26.246
3341,0.086,-0.488,10.098,-0.012,0.006,-0.027,26.246
3351,0.033,-0.512,10.088,-0.011,0.006,-0.027,26.234
3361,0.053,-0.517,10.074,-0.012,0.006,-0.027,26.234
3371,0.024,-0.517,10.098,-0.011,0.006,-0.027,26.281
3381,0.029,-0.512,10.088,-0.012,0.006,-0.026,26.281
3391,0.024,-0.512,10.088,-0.012,0.007,-0.026,26.262
3401,0.062,-0.493,10.064,-0.012,0.006,-0.026,26.262
3411,0.053,-0.498,10.069,-0.012,0.006,-0.027,26.227
3421,0.072,-0.493,10.088,-0.012,0.006,-0.027,26.227
3431,0.062,-0.488,10.107,-0.012,0.005,-0.026,26.254
3441,0.072,-0.483,10.093,-0.011,0.005,-0.026,26.254
3451,0.067,-0.483,10.083,-0.012,0.006,-0.027,26.234
3461,0.062,-0.469,10.074,-0.012,0.006,-0.027,26.234
3471,0.053,-0.479,10.074,-0.012,0.006,-0.027,26.266
3481,0.062,-0.488,10.093,-0.011,0.006,-0.027,26.266
3491,0.062,-0.479,10.102,-0.011,0.005,-0.027,26.230
3501,0.048,-0.493,10.102,-0.012,0.005,-0.026,26.230
3511,0.062,-0.488,10.098,-0.012,0.006,-0.027,26.230
3521,0.062,-0.498,10.074,-0.012,0.006,-0.027,26.230
3531,0.067,-0.498,10.079,-0.012,0.006,-0.027,26.250
3541,0.057,-0.493,10.102,-0.012,0.006,-0.027,26.250
3551,0.033,-0.502,10.117,-0.012,0.006,-0.027,26.238
3561,0.038,-0.507,10.098,-0.012,0.006,-0.027,26.238
3571,0.048,-0.502,10.088,-0.012,0.006,-0.027,26.223
3581,0.048,-0.474,10.083,-0.012,0.007,-0.027,26.223
3591,0.048,-0.483,10.074,-0.011,0.006,-0.027,26.254
3601,0.029,-0.493,10.093,-0.013,0.005,-0.026,26.254
